"Mã sản phẩm","Item Group","Tên sản phẩm","Phương pháp bổ sung","Mã đặc tính","Tên đặc tính","Mô tả","Kích thước","Thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-540x380x160mm-NO","Hộp carton 540x380x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DPTCC300 | DPTRC300 | DNCXS250","540x380x160mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-585x480x150mm-HK","Hộp carton 585x480x150mm - Thương hiệu: HKLED","Sử dụng cho: DPTVC500","585x480x150mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-585x480x150mm-NO","Hộp carton 585x480x150mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DPTVC500","585x480x150mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-600x300x110mm-HK","Hộp carton 600x300x110mm - Thương hiệu: HKLED","Sử dụng cho: DD20S050 | DDQLC030 | DDQLC050","600x300x110mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-600x300x110mm-NO","Hộp carton 600x300x110mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DD20S050 | DDQLC030 | DDQLC050","600x300x110mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-600x300x160mm-HK","Hộp carton 600x300x160mm - Thương hiệu: HKLED","Sử dụng cho: DD20S100-B | DD21S050 | DD22S100 | DD23S050 | DD24S150","600x300x160mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-600x300x160mm-NO","Hộp carton 600x300x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DD20S100-B | DD21S050 | DD22S100 | DD23S050 | DD24S150","600x300x160mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-600x380x110mm-HK","Hộp carton 600x380x110mm - Thương hiệu: HKLED","Sử dụng cho: DD01S050 | DP04S400 | DD11S150 | DD12S100 | DD12S150 | DD13S150 | DD14S100 | DD15S100","600x380x110mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-600x380x110mm-NO","Hộp carton 600x380x110mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DD01S050 | DP04S400 | DD11S150 | DD12S100 | DD12S150 | DD13S150 | DD14S100 | DD15S100","600x380x110mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-600x380x160mm-HK","Hộp carton 600x380x160mm - Thương hiệu: HKLED","Sử dụng cho: DD71S | DD72S | DD02S050","600x380x160mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-600x380x160mm-NO","Hộp carton 600x380x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DD71S | DD72S | DD02S050","600x380x160mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x300x185mm-HK","Hộp carton 660x300x185mm - Thương hiệu: HKLED","Sử dụng cho: DP02S100-NG | DP02S200-NG | DP02S300-NG | DP03S100-NG | DP03S200-NG | DP03S300-NG","660x300x185mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x300x185mm-NO","Hộp carton 660x300x185mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DP02S100-NG | DP02S200-NG | DP02S300-NG | DP03S100-NG | DP03S200-NG | DP03S300-NG","660x300x185mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x370x185mm-HK","Hộp carton 660x370x185mm - Thương hiệu: HKLED","Sử dụng cho: DP02S400 | DP03S400","660x370x185mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x370x185mm-NO","Hộp carton 660x370x185mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DP02S400 | DP03S400","660x370x185mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x380x160mm-HK","Hộp carton 660x380x160mm - Thương hiệu: HKLED","Sử dụng cho: DPTCC400 | DPTRC400","660x380x160mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x380x160mm-NO","Hộp carton 660x380x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DPTCC400 | DPTRC400","660x380x160mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x460x185mm-HK","Hộp carton 660x460x185mm - Thương hiệu: HKLED","Sử dụng cho: DP02S500 | DP03S500","660x460x185mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x460x185mm-NO","Hộp carton 660x460x185mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DP02S500 | DP03S500","660x460x185mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x580x185mm-HK","Hộp carton 660x580x185mm - Thương hiệu: HKLED","Sử dụng cho: DP02S600 | DP03S600","660x580x185mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x580x185mm-NO","Hộp carton 660x580x185mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DP02S600 | DP03S600","660x580x185mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x640x250mm-HK","Hộp carton 660x640x250mm - Thương hiệu: HKLED","Sử dụng cho: DIPN 600x600","660x640x250mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x640x250mm-NO","Hộp carton 660x640x250mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DIPN 600x600","660x640x250mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x740x185mm-HK","Hộp carton 660x740x185mm - Thương hiệu: HKLED","Sử dụng cho: DP02S800 | DP03S800","660x740x185mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x740x185mm-NO","Hộp carton 660x740x185mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DP02S800 | DP03S800","660x740x185mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x900x185mm-HK","Hộp carton 660x900x185mm - Thương hiệu: HKLED","Sử dụng cho: DP02S1K0 | DP03S1K0","660x900x185mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-660x900x185mm-NO","Hộp carton 660x900x185mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DP02S1K0 | DP03S1K0","660x900x185mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-720x300x160mm-HK","Hộp carton 720x300x160mm - Thương hiệu: HKLED","Sử dụng cho: DD20S100 | DD20S150-B | DD21S100 | DD22S150 | DD22S200 | DD23S100 | DD23S150 | DDQLC080","720x300x160mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-720x300x160mm-NO","Hộp carton 720x300x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DD20S100 | DD20S150-B | DD21S100 | DD22S150 | DD22S200 | DD23S100 | DD23S150 | DDQLC080","720x300x160mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-720x380x110mm-HK","Hộp carton 720x380x110mm - Thương hiệu: HKLED","Sử dụng cho: DD01S100 | DD01S150 | DD03S150 | DD03S200 | DD11S200 | DD12S200 | DD13S200 | DD13S250 | DD14S150 | DD14S200 | DD15S150 |","720x380x110mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-720x380x110mm-NO","Hộp carton 720x380x110mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DD01S100 | DD01S150 | DD03S150 | DD03S200 | DD11S200 | DD12S200 | DD13S200 | DD13S250 | DD14S150 | DD14S2","720x380x110mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-720x380x160mm-HK","Hộp carton 720x380x160mm - Thương hiệu: HKLED","Sử dụng cho: DD73S | DD02S100 | DD20S150 | DD21S150 | DD21S200 | DD22S250 | DD24S200","720x380x160mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-720x380x160mm-NO","Hộp carton 720x380x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DD73S | DD02S100 | DD20S150 | DD21S150 | DD21S200 | DD22S250 | DD24S200","720x380x160mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-820x380x110mm-HK","Hộp carton 820x380x110mm - Thương hiệu: HKLED","Sử dụng cho: DD01S200 | DD03S250 | DD11S250 | DD11S300 | DD12S250 | DD13S300 | DD14S250 | DD15S250 | DDQLC100","820x380x110mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-820x380x110mm-NO","Hộp carton 820x380x110mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DD01S200 | DD03S250 | DD11S250 | DD11S300 | DD12S250 | DD13S300 | DD14S250 | DD15S250 | DDQLC100","820x380x110mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-820x380x160mm-HK","Hộp carton 820x380x160mm - Thương hiệu: HKLED","Sử dụng cho: DD02S150 | DD02S200 | DD20S200-B | DD21S250 | DD23S200 | DD23S250","820x380x160mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-820x380x160mm-NO","Hộp carton 820x380x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DD02S150 | DD02S200 | DD20S200-B | DD21S250 | DD23S200 | DD23S250","820x380x160mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-880x380x110mm-HK","Hộp carton 880x380x110mm - Thương hiệu: HKLED","Sử dụng cho: DD01S250 | DD03S300 | DD12S300 | DD14S300 | DD15S300 | DDQLC150","880x380x110mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-880x380x110mm-NO","Hộp carton 880x380x110mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DD01S250 | DD03S300 | DD12S300 | DD14S300 | DD15S300 | DDQLC150","880x380x110mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-880x380x160mm-HK","Hộp carton 880x380x160mm - Thương hiệu: HKLED","Sử dụng cho: DD74S | DD94S | DD02S250 | DD20S200 | DPTCC500","880x380x160mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-880x380x160mm-NO","Hộp carton 880x380x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DD74S | DD94S | DD02S250 | DD20S200 | DPTCC500","880x380x160mm","Không có thương hiệu"
