"Mã sản phẩm","Phương pháp bổ sung","Item Group","Tên sản phẩm","Mã biến thể","Tên biến thể","Công suất","Màu ánh sáng","Chip LED","Nguồn","Kiểu nguồn","Phân loại vỏ"
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6P3HN","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Lumileds 3030, HKLED Nhỏ","50","Trắng (6.000K - 6.500K)","Lumileds 3030","HKLED Nhỏ","Nguồn nhỏ",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5P3HN","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Lumileds 3030, HKLED Nhỏ","50","Trắng (5.000K)","Lumileds 3030","HKLED Nhỏ","Nguồn nhỏ",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4P3HN","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, HKLED Nhỏ","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","HKLED Nhỏ","Nguồn nhỏ",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3P3HN","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Lumileds 3030, HKLED Nhỏ","50","Vàng (3.000K - 3.200K)","Lumileds 3030","HKLED Nhỏ","Nguồn nhỏ",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6P3HT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Lumileds 3030, HKLED Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Lumileds 3030","HKLED Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5P3HT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Lumileds 3030, HKLED Dim 1 Cấp","50","Trắng (5.000K)","Lumileds 3030","HKLED Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4P3HT","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, HKLED Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","HKLED Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3P3HT","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Lumileds 3030, HKLED Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Lumileds 3030","HKLED Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6P3HD","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Lumileds 3030, HKLED Dim 5 Cấp","50","Trắng (6.000K - 6.500K)","Lumileds 3030","HKLED Dim 5 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5P3HD","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Lumileds 3030, HKLED Dim 5 Cấp","50","Trắng (5.000K)","Lumileds 3030","HKLED Dim 5 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4P3HD","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, HKLED Dim 5 Cấp","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","HKLED Dim 5 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3P3HD","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Lumileds 3030, HKLED Dim 5 Cấp","50","Vàng (3.000K - 3.200K)","Lumileds 3030","HKLED Dim 5 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6P3DN","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Lumileds 3030, Done Nhỏ","50","Trắng (6.000K - 6.500K)","Lumileds 3030","Done Nhỏ","Nguồn nhỏ",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5P3DN","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Lumileds 3030, Done Nhỏ","50","Trắng (5.000K)","Lumileds 3030","Done Nhỏ","Nguồn nhỏ",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4P3DN","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, Done Nhỏ","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","Done Nhỏ","Nguồn nhỏ",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3P3DN","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Lumileds 3030, Done Nhỏ","50","Vàng (3.000K - 3.200K)","Lumileds 3030","Done Nhỏ","Nguồn nhỏ",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6P3DT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Lumileds 3030, Done Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Lumileds 3030","Done Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5P3DT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Lumileds 3030, Done Dim 1 Cấp","50","Trắng (5.000K)","Lumileds 3030","Done Dim 1 Cấp","Nguồn to",""
